any;municipi;concepte;estat;valor
2015;Abella de la Conca;Índex socioeconòmic territorial;;89,9
2015;Abrera;Índex socioeconòmic territorial;;104,5
2015;Àger;Índex socioeconòmic territorial;;102,1
2015;Agramunt;Índex socioeconòmic territorial;;90,7
2015;Aguilar de Segarra;Índex socioeconòmic territorial;;116,9
2015;Agullana;Índex socioeconòmic territorial;;100,3
2015;Aiguafreda;Índex socioeconòmic territorial;;108,4
2015;Aiguamúrcia;Índex socioeconòmic territorial;;97,4
2015;Aiguaviva;Índex socioeconòmic territorial;;119,2
2015;Aitona;Índex socioeconòmic territorial;;74,0
2015;Alamús, els;Índex socioeconòmic territorial;;102,6
2015;Alàs i Cerc;Índex socioeconòmic territorial;;97,2
2015;Albagés, l';Índex socioeconòmic territorial;;98,5
2015;Albanyà;Índex socioeconòmic territorial;;97,8
2015;Albatàrrec;Índex socioeconòmic territorial;;83,2
2015;Albesa;Índex socioeconòmic territorial;;89,5
2015;Albi, l';Índex socioeconòmic territorial;;97,7
2015;Albinyana;Índex socioeconòmic territorial;;90,8
2015;Albiol, l';Índex socioeconòmic territorial;;116,7
2015;Albons;Índex socioeconòmic territorial;;99,8
2015;Alcanar;Índex socioeconòmic territorial;;78,3
2015;Alcanó;Índex socioeconòmic territorial;;111,1
2015;Alcarràs;Índex socioeconòmic territorial;;76,5
2015;Alcoletge;Índex socioeconòmic territorial;;100,1
2015;Alcover;Índex socioeconòmic territorial;;97,8
2015;Aldea, l';Índex socioeconòmic territorial;;78,1
2015;Aldover;Índex socioeconòmic territorial;;83,9
2015;Aleixar, l';Índex socioeconòmic territorial;;98,5
2015;Alella;Índex socioeconòmic territorial;;120,8
2015;Alfara de Carles;Índex socioeconòmic territorial;;93,1
2015;Alfarràs;Índex socioeconòmic territorial;;79,4
2015;Alfés;Índex socioeconòmic territorial;;100,1
2015;Alforja;Índex socioeconòmic territorial;;96,4
2015;Algerri;Índex socioeconòmic territorial;;101,4
2015;Alguaire;Índex socioeconòmic territorial;;90,9
2015;Alins;Índex socioeconòmic territorial;;109,4
2015;Alió;Índex socioeconòmic territorial;;105,6
2015;Almacelles;Índex socioeconòmic territorial;;80,0
2015;Almatret;Índex socioeconòmic territorial;;91,7
2015;Almenar;Índex socioeconòmic territorial;;84,8
2015;Almoster;Índex socioeconòmic territorial;;119,4
2015;Alòs de Balaguer;Índex socioeconòmic territorial;;103,1
2015;Alp;Índex socioeconòmic territorial;;107,1
2015;Alpens;Índex socioeconòmic territorial;;109,3
2015;Alpicat;Índex socioeconòmic territorial;;113,0
2015;Alt Àneu;Índex socioeconòmic territorial;;119,3
2015;Altafulla;Índex socioeconòmic territorial;;109,6
2015;Amer;Índex socioeconòmic territorial;;102,3
2015;Ametlla de Mar, l';Índex socioeconòmic territorial;;83,3
2015;Ametlla del Vallès, l';Índex socioeconòmic territorial;;119,9
2015;Ampolla, l';Índex socioeconòmic territorial;;86,4
2015;Amposta;Índex socioeconòmic territorial;;88,5
2015;Anglès;Índex socioeconòmic territorial;;88,1
2015;Anglesola;Índex socioeconòmic territorial;;87,1
2015;Arbeca;Índex socioeconòmic territorial;;83,4
2015;Arboç, l';Índex socioeconòmic territorial;;80,9
2015;Arbolí;Índex socioeconòmic territorial;;123,9
2015;Arbúcies;Índex socioeconòmic territorial;;86,0
2015;Arenys de Mar;Índex socioeconòmic territorial;;103,2
2015;Arenys de Munt;Índex socioeconòmic territorial;;103,9
2015;Argelaguer;Índex socioeconòmic territorial;;109,0
2015;Argençola;Índex socioeconòmic territorial;;111,7
2015;Argentera, l';Índex socioeconòmic territorial;;111,4
2015;Argentona;Índex socioeconòmic territorial;;109,7
2015;Armentera, l';Índex socioeconòmic territorial;;93,9
2015;Arnes;Índex socioeconòmic territorial;;97,0
2015;Arres;Índex socioeconòmic territorial;;111,6
2015;Arsèguel;Índex socioeconòmic territorial;;116,6
2015;Artés;Índex socioeconòmic territorial;;96,5
2015;Artesa de Lleida;Índex socioeconòmic territorial;;99,7
2015;Artesa de Segre;Índex socioeconòmic territorial;;77,6
2015;Ascó;Índex socioeconòmic territorial;;99,2
2015;Aspa;Índex socioeconòmic territorial;;93,3
2015;Avellanes i Santa Linya, les;Índex socioeconòmic territorial;;103,7
2015;Avià;Índex socioeconòmic territorial;;105,7
2015;Avinyó;Índex socioeconòmic territorial;;100,4
2015;Avinyonet de Puigventós;Índex socioeconòmic territorial;;108,7
2015;Avinyonet del Penedès;Índex socioeconòmic territorial;;102,8
2015;Badalona;Índex socioeconòmic territorial;;92,5
2015;Badia del Vallès;Índex socioeconòmic territorial;;82,4
2015;Bagà;Índex socioeconòmic territorial;;105,3
2015;Baix Pallars;Índex socioeconòmic territorial;;110,8
2015;Balaguer;Índex socioeconòmic territorial;;81,9
2015;Balenyà;Índex socioeconòmic territorial;;96,9
2015;Balsareny;Índex socioeconòmic territorial;;98,9
2015;Banyeres del Penedès;Índex socioeconòmic territorial;;99,0
2015;Banyoles;Índex socioeconòmic territorial;;92,0
2015;Barbens;Índex socioeconòmic territorial;;61,9
2015;Barberà de la Conca;Índex socioeconòmic territorial;;92,2
2015;Barberà del Vallès;Índex socioeconòmic territorial;;103,6
